vessel_name,vessel_mmsi,vessel_flag,date,activity,lat,lon,duration_hours,start_time,end_time,detail,id,metric
M.V. Laguna Setia 1,533130572,MYS,2025-12-06,port_visit,5.2423,115.2441,3089.59,2025-12-06T08:54:33.000Z,2026-04-14T02:29:56.000Z,Unknown Port,,
M.V. Laguna Setia 1,533130572,MYS,2025-12-06,port_visit,5.2423,115.2441,3089.59,2025-12-06T08:54:33.000Z,2026-04-14T02:29:56.000Z,Port Visit: Unknown Port (N/A),3f380786b9bb10e4d3c3ed3b086b02af,Unknown Port
Keyfield Grace,533132128,MYS,2025-12-13,port_visit,5.2678,115.2746,2667.44,2025-12-13T03:13:17.000Z,2026-04-03T06:39:37.000Z,Unknown Port,,
Keyfield Grace,533132128,MYS,2025-12-13,port_visit,5.2678,115.2746,2667.44,2025-12-13T03:13:17.000Z,2026-04-03T06:39:37.000Z,Port Visit: Unknown Port (N/A),8a9780b600e0d2329f81872241fa750f,Unknown Port
Keyfield Gratitude,533133396,MYS,2026-01-28,port_visit,4.2541,103.5059,2708.98,2026-01-28T09:08:46.000Z,2026-05-21T06:07:35.000Z,Unknown Port,,
Keyfield Gratitude,533133396,MYS,2026-01-28,port_visit,4.2541,103.5059,2708.98,2026-01-28T09:08:46.000Z,2026-05-21T06:07:35.000Z,Port Visit: Unknown Port (N/A),0b869aa47ad0a3da2a5299aa58745ae7,Unknown Port
Keyfield Itqan,533133132,MYS,2026-02-12,port_visit,1.3038,104.2246,2089.94,2026-02-12T06:25:31.000Z,2026-05-10T08:21:53.000Z,Unknown Port,,
Keyfield Itqan,533133132,MYS,2026-02-12,port_visit,1.3038,104.2246,2089.94,2026-02-12T06:25:31.000Z,2026-05-10T08:21:53.000Z,Port Visit: Unknown Port (N/A),dcad2488450e4009a821b66944444413,Unknown Port
Keyfield Blessing,352005574,PAN,2026-02-19,port_visit,19.6832,57.7259,235.27,2026-02-19T14:20:40.000Z,2026-03-01T09:37:09.000Z,Unknown Port,,
Keyfield Commander,533003510,MYS,2026-02-26,loitering,7.785,102.5016,156.94,2026-02-26T08:57:51.000Z,2026-03-04T21:54:16.000Z,speed:0.1kt,,
Keyfield Helms 1,533132471,MYS,2026-02-27,port_visit,3.243,112.9987,91.45,2026-02-27T11:11:53.000Z,2026-03-03T06:39:09.000Z,Unknown Port,,
M.V. Laguna Setia 2,533131104,MYS,2026-02-28,port_visit,4.199,103.5179,1036.69,2026-02-28T06:19:12.000Z,2026-04-12T11:00:30.000Z,Unknown Port,,
M.V. Laguna Setia 2,533131104,MYS,2026-02-28,port_visit,4.199,103.5179,1036.69,2026-02-28T06:19:12.000Z,2026-04-12T11:00:30.000Z,Port Visit: Unknown Port (N/A),14ca2a22cc52af3d41562e6c09afb619,Unknown Port
Keyfield Kindness,533132143,MYS,2026-02-28,loitering,26.4876,52.1015,13.6,2026-02-28T21:59:06.000Z,2026-03-01T11:35:20.000Z,speed:0.6kt,,
Daya Ceria,533132679,MYS,2026-03-01,port_visit,7.2305,100.5724,9.31,2026-03-01T23:33:23.000Z,2026-03-02T08:51:58.000Z,Unknown Port,,
Keyfield Kindness,533132143,MYS,2026-03-02,port_visit,25.8729,51.8116,191.44,2026-03-02T05:36:54.000Z,2026-03-10T05:03:22.000Z,Unknown Port,,
Daya Ceria,533132679,MYS,2026-03-03,loitering,7.3959,103.4418,15.06,2026-03-03T07:55:48.000Z,2026-03-03T22:59:08.000Z,speed:0.4kt,,
Daya Ceria,533132679,MYS,2026-03-04,loitering,7.392,103.4489,1.92,2026-03-04T00:57:02.000Z,2026-03-04T02:52:09.000Z,speed:1.1kt,,
Daya Ceria,533132679,MYS,2026-03-04,loitering,7.3884,103.4544,1.08,2026-03-04T05:07:52.000Z,2026-03-04T06:12:28.000Z,speed:0.3kt,,
